Ticker,Strategy,Total Return %,Max Drawdown %,Trades,2021,2022,2023,2024,2025,2026
CAT,"EMA(9,21)",213.45,-31.81,24,-14.93,18.23,42.76,-5.63,64.48,40.64
CAT,"EMA(20,50)",122.28,-32.89,13,-10.97,-7.11,12.93,5.09,45.55,55.61
CAT,"EMA(50,200)",179.36,-28.74,5,-1.52,-11.5,12.65,24.66,46.68,55.61
CAT,"EMA(9,50)",174.02,-27.29,17,-10.78,7.54,16.22,3.25,52.95,55.61
CAT,"EMA(21,200)",153.84,-32.11,8,-1.52,-21.24,7.73,24.66,56.62,55.61
CRM,Buy & Hold,-24.32,-58.62,0,7.59,-47.83,98.46,27.76,-20.25,-33.33
CRM,"SMA(9,21)",-38.18,-46.56,34,8.77,-33.9,35.6,-4.12,-23.46,-13.6
CRM,"SMA(20,50)",30.83,-40.87,12,9.42,-16.9,53.52,38.87,-21.77,-13.73
CRM,"SMA(50,200)",26.43,-34.48,2,0.0,0.0,49.93,10.59,-23.74,0.0
CRM,"SMA(9,50)",-6.34,-45.41,16,3.33,-27.45,59.6,17.21,-19.61,-16.93
CRM,"SMA(21,200)",11.54,-41.61,3,0.0,0.0,57.54,1.81,-16.86,-16.36
CRM,"EMA(9,21)",-24.38,-56.02,26,12.52,-52.14,70.69,24.37,-23.42,-13.63
CRM,"EMA(20,50)",18.48,-35.46,10,7.73,-12.94,46.8,21.32,-17.26,-14.27
CRM,"EMA(50,200)",13.66,-31.11,4,5.8,-9.01,42.05,8.87,-23.66,0.0
CRM,"EMA(9,50)",28.27,-34.27,13,4.71,-16.67,64.25,22.78,-17.3,-11.85
CRM,"EMA(21,200)",19.56,-33.46,5,5.8,0.0,41.03,8.83,-18.72,-9.42
CSCO,Buy & Hold,160.13,-36.68,0,22.09,-22.46,9.3,21.0,33.47,55.68
CSCO,"SMA(9,21)",125.39,-27.99,28,14.35,13.94,-8.49,-5.12,36.15,46.34
CSCO,"SMA(20,50)",75.84,-23.74,14,7.69,-15.34,0.98,21.36,25.43,25.47
CSCO,"SMA(50,200)",159.61,-17.46,3,0.0,-0.8,7.74,16.9,33.47,55.68
CSCO,"SMA(9,50)",79.31,-22.01,17,7.76,-13.07,-0.0,11.38,25.55,36.88
CSCO,"SMA(21,200)",135.0,-22.79,3,0.0,-4.14,3.95,13.5,33.47,55.68
CSCO,"EMA(9,21)",83.02,-22.49,27,12.34,-1.96,-2.35,0.4,29.82,30.56
CSCO,"EMA(20,50)",105.09,-24.18,10,7.33,-12.72,4.76,7.56,24.81,55.68
CSCO,"EMA(50,200)",154.46,-21.83,4,21.3,-15.49,6.72,11.93,33.47,55.68
CSCO,"EMA(9,50)",104.06,-20.48,18,8.16,-10.33,8.56,9.82,22.23,44.38
CSCO,"EMA(21,200)",121.34,-29.26,6,21.3,-21.07,-0.53,11.84,33.47,55.68
CVX,Buy & Hold,110.7,-24.95,0,12.81,58.46,-13.63,1.29,10.1,22.38
CVX,"SMA(9,21)",55.43,-31.58,33,9.54,57.71,-5.35,-9.43,-9.03,15.38
CVX,"SMA(20,50)",9.27,-48.94,14,13.36,16.7,-20.87,-8.07,-3.09,17.17
CVX,"SMA(50,200)",-7.27,-42.08,5,0.0,16.26,-17.42,-21.39,0.39,22.38
CVX,"SMA(9,50)",31.77,-41.76,17,14.85,26.58,-13.28,-4.42,-5.7,15.95
CVX,"SMA(21,200)",-21.98,-49.66,7,0.0,16.26,-31.8,-9.24,-11.41,22.38
CVX,"EMA(9,21)",10.73,-45.19,31,10.6,28.07,-23.85,1.43,-13.68,17.25
CVX,"EMA(20,50)",10.49,-45.23,16,12.58,29.03,-14.74,-9.64,-8.52,7.93
CVX,"EMA(50,200)",38.26,-36.35,6,3.09,58.46,-17.61,-11.64,-5.0,22.38
CVX,"EMA(9,50)",6.26,-44.48,19,13.12,28.87,-16.1,-9.48,-9.05,5.53
CVX,"EMA(21,200)",14.08,-49.23,9,6.38,58.46,-26.98,-14.71,-11.2,22.38
DIS,Buy & Hold,-40.63,-57.33,0,-13.39,-43.91,4.26,24.44,3.3,-8.82
DIS,"SMA(9,21)",-30.83,-55.41,37,-14.09,-31.74,-20.27,33.23,12.8,-1.55
DIS,"SMA(20,50)",-6.43,-38.0,14,-2.34,-19.23,-8.87,39.7,-3.37,-3.58
DIS,"SMA(50,200)",-27.85,-52.96,4,0.0,0.0,4.67,-6.31,-26.43,0.0
DIS,"SMA(9,50)",-9.17,-31.56,16,-3.07,-17.27,-7.51,43.74,-4.7,-10.61
DIS,"SMA(21,200)",-33.77,-42.08,5,0.0,0.0,-18.16,6.82,-19.49,-5.91
DIS,"EMA(9,21)",10.91,-38.19,26,-19.19,-10.7,-7.57,48.27,13.36,-1.08
DIS,"EMA(20,50)",-20.94,-35.38,12,-11.82,-7.98,-16.72,36.23,-2.34,-12.06
DIS,"EMA(50,200)",-41.73,-52.13,5,-8.23,0.0,0.0,-2.32,-29.86,-7.31
DIS,"EMA(9,50)",-23.52,-35.77,19,-12.36,-8.19,-18.08,40.42,-0.83,-16.69
DIS,"EMA(21,200)",-17.62,-32.22,6,-9.22,0.0,-2.27,20.41,-16.41,-7.73
DOW,Buy & Hold,-35.78,-64.37,0,-17.57,-6.65,14.71,-22.79,-37.38,50.48
DOW,"SMA(9,21)",-38.54,-59.0,34,-11.72,5.5,17.26,-3.42,-52.67,23.12
DOW,"SMA(20,50)",-22.73,-52.55,15,-18.19,-15.69,6.08,-10.16,-24.38,55.41
DOW,"SMA(50,200)",-14.93,-39.72,4,0.0,-11.47,-11.74,0.27,0.0,8.59
DOW,"SMA(9,50)",-2.46,-46.51,17,-9.79,-3.95,9.63,-8.96,-32.42,66.88
DOW,"SMA(21,200)",14.97,-34.66,4,0.0,-11.42,-4.22,2.38,0.0,32.36
DOW,"EMA(9,21)",-22.58,-55.52,30,-18.77,16.23,9.26,-10.83,-43.87,49.97
DOW,"EMA(20,50)",31.09,-29.62,7,0.0,-4.47,-1.36,-2.77,-4.92,50.48
DOW,"EMA(50,200)",-33.04,-48.35,6,0.0,-18.63,-16.1,-5.21,0.0,3.48
DOW,"EMA(9,50)",3.42,-43.29,15,-4.62,-2.57,2.31,-1.9,-27.37,52.69
DOW,"EMA(21,200)",-17.64,-40.18,7,0.0,-20.4,-12.1,-7.06,0.0,26.64
GS,Buy & Hold,196.32,-32.84,0,1.05,-7.87,15.91,52.03,56.64,15.32
GS,"SMA(9,21)",108.14,-44.46,31,1.83,-15.42,9.59,30.99,32.71,26.84
GS,"SMA(20,50)",19.68,-47.37,15,-14.3,-7.11,-18.15,47.81,18.68,4.71
GS,"SMA(50,200)",112.58,-30.9,5,0.0,-4.45,-8.88,52.03,39.25,15.32
GS,"SMA(9,50)",49.09,-47.52,20,-7.84,-22.11,-10.14,46.74,37.05,14.91
GS,"SMA(21,200)",79.85,-33.41,5,0.0,-10.5,-2.5,52.03,17.55,15.32
GS,"EMA(9,21)",69.39,-42.27,28,-1.29,-18.59,-7.97,29.56,56.27,13.13
GS,"EMA(20,50)",58.78,-42.82,13,-8.46,-11.27,-11.98,52.03,37.92,5.92
GS,"EMA(50,200)",82.35,-42.38,6,-9.44,-17.87,-10.73,52.03,56.64,15.32
GS,"EMA(9,50)",131.69,-36.17,16,-5.31,0.27,-11.01,48.48,68.32,9.71
GS,"EMA(21,200)",65.48,-44.53,9,-7.0,-20.95,-11.27,52.03,44.69,15.32
HD,Buy & Hold,14.75,-34.73,0,33.11,-21.98,12.77,15.0,-9.33,-6.03
HD,"SMA(9,21)",-6.07,-34.99,31,14.52,-20.65,15.94,-10.83,7.66,-7.14
HD,"SMA(20,50)",11.11,-22.33,13,26.36,-11.12,10.72,1.79,-2.44,-10.01
HD,"SMA(50,200)",-28.47,-35.7,5,0.0,-1.09,-15.69,15.0,-25.4,0.0
HD,"SMA(9,50)",21.68,-24.98,15,26.36,-11.54,10.8,19.19,-12.55,-5.75
HD,"SMA(21,200)",-22.45,-37.65,5,0.0,0.31,-2.77,15.0,-23.37,-9.77
HD,"EMA(9,21)",29.46,-17.76,27,20.66,-2.57,7.48,5.69,4.53,-7.26
HD,"EMA(20,50)",-6.76,-28.62,12,30.26,-21.53,7.83,4.32,-13.03,-6.75
HD,"EMA(50,200)",-23.72,-42.1,6,30.04,-23.96,-10.35,15.0,-18.15,-8.58
HD,"EMA(9,50)",25.39,-21.53,14,31.61,-8.41,5.11,10.23,-6.94,-3.54
HD,"EMA(21,200)",-10.0,-34.37,7,31.19,-27.3,0.47,8.81,-8.07,-6.1
