Ticker,Window,Total Return %,Max Drawdown %,Win Rate %,Trades,2021,2022,2023,2024,2025,2026
DTG.DE,Buy & Hold,72.62,-37.82,—,0,8.45,-10.36,22.56,13.57,6.37,19.93
DTG.DE,"Pre-Drift [-5,-1]",3.65,-11.4,61.1,18,,3.1,9.06,4.04,-8.31,-3.37
DTG.DE,"Announcement [-1,+1]",16.23,-11.99,50.0,18,,8.71,-11.99,3.42,7.13,9.65
DTG.DE,"PEAD-Short [+1,+5]",-16.55,-23.1,55.6,18,,4.18,0.09,-3.35,-7.57,-10.41
DTG.DE,"PEAD-Long [+1,+20]",-17.17,-29.38,55.6,18,,-9.12,1.91,6.62,-17.45,1.62
DTG.DE,"Full [-5,+5]",0.53,-24.64,44.4,18,,16.76,-3.93,3.99,-9.21,-5.08
DBK.DE,Buy & Hold,256.56,-46.36,—,0,8.06,-1.83,20.54,38.52,104.51,-1.56
DBK.DE,"Pre-Drift [-5,-1]",-1.68,-20.62,55.0,20,4.73,-6.08,-15.01,7.66,14.89,-4.92
DBK.DE,"Announcement [-1,+1]",35.16,-11.71,65.0,20,-5.21,3.89,13.1,2.91,17.77,0.13
DBK.DE,"PEAD-Short [+1,+5]",-22.8,-36.14,50.0,20,0.76,17.22,-16.97,-16.61,0.68,-6.24
DBK.DE,"PEAD-Long [+1,+20]",39.89,-8.94,60.0,20,3.38,5.98,8.82,-8.03,28.39,-0.63
DBK.DE,"Full [-5,+5]",2.58,-29.0,50.0,20,0.03,14.37,-20.19,-7.61,36.22,-10.74
DB1.DE,Buy & Hold,95.04,-29.61,—,0,2.44,11.9,18.03,21.82,2.03,15.98
DHL.DE,Buy & Hold,23.87,-48.39,—,0,-2.67,-34.84,33.22,-20.69,44.78,27.69
DHL.DE,"Pre-Drift [-5,-1]",-6.91,-11.38,55.0,20,1.21,-9.87,3.23,1.54,3.12,-5.59
DHL.DE,"Announcement [-1,+1]",5.8,-23.79,50.0,20,4.09,10.96,-0.18,-21.93,22.91,-4.36
DHL.DE,"PEAD-Short [+1,+5]",27.01,-5.75,55.0,20,-2.41,12.8,-1.05,0.54,11.43,4.07
DHL.DE,"PEAD-Long [+1,+20]",17.87,-22.91,55.0,20,-3.88,-10.9,17.39,6.63,-3.7,14.18
DHL.DE,"Full [-5,+5]",25.1,-20.3,60.0,20,2.8,12.81,1.97,-20.3,41.24,-6.02
DTE.DE,Buy & Hold,70.69,-29.3,—,0,-11.14,18.67,20.35,37.51,-1.45,-0.75
DTE.DE,"Pre-Drift [-5,-1]",2.69,-6.14,55.0,20,1.23,-2.69,-0.16,-0.38,0.88,3.91
DTE.DE,"Announcement [-1,+1]",0.11,-7.72,55.0,20,3.85,-7.02,2.23,5.0,-3.47,0.06
DTE.DE,"PEAD-Short [+1,+5]",24.13,-1.69,75.0,20,-1.41,2.55,3.49,0.84,11.65,5.37
DTE.DE,"PEAD-Long [+1,+20]",12.46,-11.79,55.0,20,-9.48,11.22,2.39,13.17,-1.21,-2.42
DTE.DE,"Full [-5,+5]",27.61,-10.14,65.0,20,3.65,-7.22,5.62,5.47,8.73,9.55
EOAN.DE,Buy & Hold,128.44,-37.02,—,0,17.07,-19.47,35.94,-3.64,48.77,24.34
FRE.DE,Buy & Hold,2.73,-56.5,—,0,-20.87,-23.65,10.58,19.49,49.5,-13.92
FRE.DE,"Pre-Drift [-5,-1]",-14.96,-19.38,50.0,20,-4.24,-4.46,-9.82,2.46,0.16,0.44
FRE.DE,"Announcement [-1,+1]",-5.09,-17.13,35.0,20,0.33,-15.12,9.61,0.61,4.65,-3.43
FRE.DE,"PEAD-Short [+1,+5]",-3.65,-10.04,55.0,20,-2.61,-1.58,0.1,-5.2,13.34,-6.53
FRE.DE,"PEAD-Long [+1,+20]",16.52,-25.02,65.0,20,-15.55,5.53,17.76,15.58,18.33,-18.82
FRE.DE,"Full [-5,+5]",-22.23,-32.08,45.0,20,-6.43,-20.2,-1.06,-2.28,18.81,-9.34
FME.DE,Buy & Hold,-29.72,-61.46,—,0,-18.14,-45.19,27.41,19.75,-5.1,8.18
FME.DE,"Pre-Drift [-5,-1]",-2.74,-7.36,45.0,20,0.02,-2.9,-2.65,6.96,-3.31,-0.52
FME.DE,"Announcement [-1,+1]",-40.79,-36.45,35.0,20,-8.38,-16.1,9.92,-9.77,-6.52,-16.92
FME.DE,"PEAD-Short [+1,+5]",22.33,-7.5,60.0,20,4.32,-0.34,-6.9,5.01,8.51,10.91
FME.DE,"PEAD-Long [+1,+20]",32.6,-14.92,55.0,20,-7.16,3.67,4.27,16.47,4.88,8.17
FME.DE,"Full [-5,+5]",-29.54,-27.32,40.0,20,-4.4,-18.81,-0.38,1.35,-1.92,-8.33
G1A.DE,Buy & Hold,90.74,-33.15,—,0,39.07,-18.62,0.89,30.32,23.35,3.93
G1A.DE,"Pre-Drift [-5,-1]",-2.64,-6.95,50.0,20,0.61,0.07,-3.06,-3.23,4.06,-0.95
G1A.DE,"Announcement [-1,+1]",-7.34,-13.47,50.0,20,2.23,-10.05,2.28,3.76,3.4,-8.17
G1A.DE,"PEAD-Short [+1,+5]",14.12,-7.31,55.0,20,1.29,5.82,0.49,8.08,-4.59,2.74
G1A.DE,"PEAD-Long [+1,+20]",-4.18,-22.78,60.0,20,5.96,3.17,-0.69,13.17,-20.82,-1.5
G1A.DE,"Full [-5,+5]",2.94,-11.62,50.0,20,4.18,-4.74,-0.36,8.51,2.66,-6.54
HNR1.DE,Buy & Hold,109.75,-24.47,—,0,15.32,15.47,20.36,15.17,13.83,-0.17
HNR1.DE,"Pre-Drift [-5,-1]",-6.07,-11.23,55.0,20,-0.61,-8.04,-3.47,5.88,1.23,-0.68
HNR1.DE,"Announcement [-1,+1]",11.04,-8.18,55.0,20,7.62,4.71,-5.09,7.7,-3.63,0.03
