Ticker,Strategy,Total Return %,Max Drawdown %,Trades,2021,2022,2023,2024,2025,2026
BEI.DE,"SMA(20,50)",-13.55,-38.81,14,-1.08,7.93,22.37,-9.79,-16.87,-11.77
BEI.DE,"SMA(50,200)",34.45,-15.99,1,0.0,12.23,27.32,-5.9,0.0,0.0
BEI.DE,"SMA(9,50)",-13.9,-35.32,16,-1.08,-2.47,25.22,-5.55,-18.82,-7.05
BEI.DE,"SMA(21,200)",-12.59,-43.5,3,0.0,11.16,27.32,-6.38,-11.57,-25.4
BEI.DE,"EMA(9,21)",-30.95,-37.17,29,-7.27,-19.01,22.76,-8.22,-14.84,-4.19
BEI.DE,"EMA(20,50)",5.34,-28.24,9,-4.0,12.75,24.9,-6.89,-8.42,-8.62
BEI.DE,"EMA(50,200)",2.8,-25.49,3,-11.08,11.48,27.32,-7.24,-12.2,0.0
BEI.DE,"EMA(9,50)",-15.68,-30.44,15,-5.38,-6.04,25.43,-6.46,-12.8,-7.31
BEI.DE,"EMA(21,200)",-16.98,-40.77,4,-9.7,11.43,27.32,-6.38,-12.36,-21.02
BMW.DE,Buy & Hold,-7.25,-41.22,0,3.5,1.37,31.15,-16.78,24.43,-34.91
BMW.DE,"SMA(9,21)",1.55,-31.47,34,8.06,-5.39,6.33,-8.06,10.99,-8.47
BMW.DE,"SMA(20,50)",-5.06,-27.03,13,1.62,-9.27,35.28,-6.54,-9.47,-10.03
BMW.DE,"SMA(50,200)",6.39,-43.02,4,0.0,1.03,27.87,-13.13,11.95,-15.31
BMW.DE,"SMA(9,50)",-2.16,-30.0,18,-0.54,-10.8,31.79,-3.81,-5.38,-8.06
BMW.DE,"SMA(21,200)",-18.37,-49.18,6,0.0,-1.15,23.59,-16.47,-5.78,-15.1
BMW.DE,"EMA(9,21)",15.02,-21.47,30,1.16,4.63,21.05,-0.31,5.02,-14.26
BMW.DE,"EMA(20,50)",5.89,-29.86,11,5.56,-5.56,34.52,-8.59,-4.57,-9.47
BMW.DE,"EMA(50,200)",-14.03,-29.45,4,0.24,-19.47,21.57,-7.72,13.59,-16.43
BMW.DE,"EMA(9,50)",4.16,-28.68,14,1.29,-12.04,41.91,-5.13,-3.0,-10.49
BMW.DE,"EMA(21,200)",-24.94,-36.84,8,1.06,-22.56,17.0,-3.88,-1.21,-13.68
BNR.DE,Buy & Hold,-16.33,-44.66,0,-3.87,-23.38,43.28,-28.21,-11.23,24.4
BNR.DE,"SMA(9,21)",-16.43,-37.79,33,-6.35,-25.18,53.4,-31.3,-5.89,20.25
BNR.DE,"SMA(20,50)",-52.77,-55.71,16,0.0,-27.92,1.77,-21.89,-13.09,-5.17
BNR.DE,"SMA(50,200)",-7.04,-31.56,3,0.0,0.0,17.35,-16.61,-11.5,7.33
BNR.DE,"SMA(9,50)",-48.18,-50.5,21,0.0,-36.74,10.8,-21.17,-5.63,-0.61
BNR.DE,"SMA(21,200)",-31.77,-47.8,6,0.0,0.0,12.93,-10.05,-21.2,-14.76
